시도교육청,지역교육청,지역,정보공시  학교코드,학교명,학교급코드,설립구분,제외여부,제외사유,유초등부-유,유초등부-유-순회,유초등부-1학년,유초등부-2학년,유초등부-3학년,유초등부-4학년,유초등부-5학년,유초등부-6학년,유초등부-초-순회,유초등부-학급수(계),유초등부-학생수(계),유초등부-학급당학생수,중등부-1학년,중등부-2학년,중등부-3학년,중등부-순회,중등부-학급수(계),중등부-학생수(계),중등부-학급당학생수,고등부-1학년,고등부-2학년,고등부-3학년,고등부-순회,고등부-학급수(계),고등부-학생수(계),고등부-학급당학생수,전공과,학급수 총계,학생수 총계,학급당학생수
충청북도교육청,충청북도교육청,충청북도 충주시,S110001115,충주성심학교,5,사립,N,,1,4,0,1,1,1,0,1,5,14,34,2.43,1,1,1,0,3,15,5,2,1,2,0,5,26,5.2,2,24(9),87(21),3.63
충청북도교육청,충청북도교육청,충청북도 충주시,S110002176,충주혜성학교,5,공립,N,,1,0,1,1,1,2,1,1,0,8,34,4.25,2,2,1,0,5,26,5.2,2,1,1,0,4,20,5,2,19(0),94(0),4.95
충청남도교육청,충청남도교육청,충청남도 공주시,S120001249,공주정명학교,5,공립,N,,0,0,1,1,1,1,1,1,0,6,14,2.33,2,1,1,2,6,16,2.67,1,1,1,1,4,16,4,5,21(3),81(1),3.86
충청남도교육청,충청남도교육청,충청남도 천안시 서북구,S120001250,천안인애학교,5,공립,N,,0,0,1,3,2,3,3,1,1,14,60,4.29,3,4,3,0,10,50,5,4,3,3,1,11,56,5.09,5,40(2),206(3),5.15
충청남도교육청,충청남도교육청,충청남도 보령시,S120001251,보령정심학교,5,사립,N,,0,0,1,1,1,0,1,1,0,5,12,2.4,1,1,1,0,3,16,5.33,2,1,2,1,6,21,3.5,4,18(1),81(2),4.5
충청남도교육청,충청남도교육청,충청남도 서산시,S120001252,서산성봉학교,5,공립,N,,0,0,3,2,2,2,1,2,0,12,55,4.58,3,2,3,0,8,43,5.38,2,3,3,1,9,42,4.67,7,36(1),190(1),5.28
충청남도교육청,충청남도교육청,충청남도 천안시 서북구,S120001253,나사렛새꿈학교,5,사립,N,,7,2,2,3,2,1,1,1,2,21,89,4.24,1,2,1,1,5,24,4.8,1,2,2,0,5,27,5.4,0,31(5),140(17),4.52
충청남도교육청,충청남도교육청,충청남도 아산시,S120002668,아산성심학교,5,공립,N,,0,0,1,2,3,2,2,2,0,12,65,5.42,2,3,2,0,7,37,5.29,2,4,3,1,10,51,5.1,5,34(1),188(0),5.53
충청남도교육청,충청남도교육청,충청남도 천안시 동남구,S120002910,천안늘해랑학교,5,공립,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,6,37,6.17,5,11(0),76(0),6.91
충청남도교육청,충청남도교육청,충청남도 논산시,S120002913,성광온누리학교,5,공립,N,,1,0,1,2,2,1,1,1,0,9,39,4.33,2,1,2,0,5,21,4.2,1,2,1,0,4,19,4.75,4,22(0),106(0),4.82
